issn,product_title_sort,Title,Format,product_id,Imprint,Primary Language,Vols Qty,Scheduled Vol Nos,Single Issues per volume,Open Access,Comment,imprints,issn_type,.id,V1
0873-9749,acta ethologica,acta ethologica,PE OF S,10211,Springer,English,1,22,3,Hybrid (Open Choice),NA,Springer,ISSN print,2016,18
2096-0956,Acta Geochimica,Acta Geochimica,PE,11631,"Science Press, co-published with Springer",English,1,38,6,Hybrid (Open Choice),"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide.",other,ISSN print,2017,118
2096-0956,Acta Geochimica,Acta Geochimica,PE,11631,"Science Press, co-published with Springer",English,1,38,6,Hybrid (Open Choice),"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide.",other,ISSN print,2016,45
2096-0956,Acta Geochimica,Acta Geochimica,PE,11631,"Science Press, co-published with Springer",English,1,38,6,Hybrid (Open Choice),"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide.",other,ISSN print,2018,42
2096-0956,Acta Geochimica,Acta Geochimica,PE,11631,"Science Press, co-published with Springer",English,1,38,6,Hybrid (Open Choice),"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide.",other,ISSN print,2015,12
2213-5812,Acta Geodaetica Geophysica,Acta Geodaetica et Geophysica,PE OF,40328,"Akadémiai Kiadó, co-published with Springer",English,1,54,4,Hybrid (Open Choice),Chinese Library of Science. No sales rights in Hungary.,other,ISSN print,2015,67
2213-5812,Acta Geodaetica Geophysica,Acta Geodaetica et Geophysica,PE OF,40328,"Akadémiai Kiadó, co-published with Springer",English,1,54,4,Hybrid (Open Choice),Chinese Library of Science. No sales rights in Hungary.,other,ISSN print,2016,34
2213-5812,Acta Geodaetica Geophysica,Acta Geodaetica et Geophysica,PE OF,40328,"Akadémiai Kiadó, co-published with Springer",English,1,54,4,Hybrid (Open Choice),Chinese Library of Science. No sales rights in Hungary.,other,ISSN print,2018,26
2213-5812,Acta Geodaetica Geophysica,Acta Geodaetica et Geophysica,PE OF,40328,"Akadémiai Kiadó, co-published with Springer",English,1,54,4,Hybrid (Open Choice),Chinese Library of Science. No sales rights in Hungary.,other,ISSN print,2017,18
1861-1125,Acta Geotechnica,Acta Geotechnica,PE OF,11440,Springer,English,1,14,6,Hybrid (Open Choice),NA,Springer,ISSN print,2017,104
1861-1125,Acta Geotechnica,Acta Geotechnica,PE OF,11440,Springer,English,1,14,6,Hybrid (Open Choice),NA,Springer,ISSN print,2018,96
